Source_Ja	Target_En	Translation_En_Ours	Human_Score_A	Human_Score_B	
モストウさん、観客の皆さんに何か一言ありますか。	Mr. Mostow, would like to say something to the audience?	Mr. Mosto, do you have any a word to the audience?			
ええ、ありがとう、クリス。	Yes, thank you Chris.	Oh thank you, Chris.			
皆さんご存知かと思いますが、今年に入って貿易協定が締結されました。	As you may all know, the trade deal was signed earlier this year.	As you know, the trade agreement was signed this year.			
その過程において問題はいくつかありましたが、係わった政府関係者たち全員が確実に物事がスムーズにいくようにしました。	Although there were some issues along the way, all the government officials involved have made sure things went smoothly.	There were several problems in the process, but all the government friends who were involved was definitely going smoothly.			
モストウさん、大変なお仕事、ありがとうございました。	We appreciate your hard work Mr. Mostow.	Mr. Mosto, thank you very much for your work.			
そして、今日ここにいて、クリスと彼のチームが新貿易協定について発表出来るのを喜ばしく思っています。	And I'm happy to be here today to have Chris and his team present to you the new trade deal.	And today, Chris and his team are pleased to announce the announcement of the new trade agreement.			
クリス、どうぞお話してください。	Chris, I will hand the floor back to you.	Chris, please tell me.			
モストウさん、大変ありがとうございました。	Thank you very much Mr. Mostow.	Mr. Mosto, thank you very much.			
さて、早速始めましょうか。	Alright, let's get right into it then.	Well, let's get started quickly.			
CPTPPは11か国間の貿易協定です。	The CPTPP is a new trade agreement between eleven countries.	C story is a trade agreement between 11 and the country.			
その11のうち、7か国が正式に参加していますが、一方残りの4か国はまだ検討中の状態にあります。	Of the eleven, seven countries have already officially joined while the remaining four are still in the discussion phase.	In this 11 days, seven countries are officially present, but the rest of the 4 countries are still in the state of mind.			
署名した7か国は、メキシコ、日本、カナダ、シンガポール、ニュージーランド、オーストラリア、ベトナムです。	The seven countries that have signed on are, Mexico, Japan, Canada, Singapore, New Zealand, Australia, and Vietnam.	The seven that signed is China, Japan, Canada, new here is the fact that it is, and is, and Vietnam.			
残りの4か国は、ブルネイ、チリ、マレーシア、ペルーとなっています。	The four remaining are, Brunei, Chile, Malaysia, and Peru.	The rest four countries are Bruna, and should be, Malaysia and per person.			
この貿易協定の目玉となるのは、多数の製品にかかる関税の引き下げもしくは撤廃です。	So the biggest feature of this trade deal will be the reduction or removal of tariffs on a large number of goods.	This trade agreement is to be completed or remove the tariffs on various products.			
カナダにとって、大きな利点の一つは、アジア市場への肉製品にかかる関税の引き下げです。	For Canada, one of the biggest benefit is the reduction of tariffs for meat products in to the Asian market.	One of the great advantage is that the tariffs for the goods to the Asian market.			
カナダの主要市場の一つが日本なので、肉製品の貿易が大幅に増えることを予測しています。	One of Canada's key market will be Japan and we expect the trade of meat products to increase greatly.	It is one of the main markets in Canada, so we expect that the trade of meat products will increase.			
主要製品は牛肉と豚肉になります。	Key products will be beef and pork.	The main product will be the chief product and pork.			
さて、関税だけでなく、協定は国々の間にその他の利益ももたらします。	Now aside from the tariffs, the deal also brings other benefits among the countries.	Well, not only tariffs, but the agreement bring other profits between countries.			
例えば、これによって他の国の他の企業が、政府との契約に入札する機会を持つことができます。	For example, this will open up opportunities for other companies in other countries to bid for government contracts.	For example, these other companies can offer opportunities to bids for the government contracts.			
典型的に、政府の契約には、地元の企業だけが入札できるのですが、これによって変わるでしょう。	Typically, government contracts can only be bid by the local companies but this will change that.	In the standard sense, the government contract can only bid but it will change.			
そして、関税引き下げもしくは撤廃によって、外国企業が海外での政府契約入札においてより競争力をもつことが出来るようになります。	And with the reduction or removal of tariffs, it will allow foreign companies to be more competitive in bidding for government contracts abroad.	And with tariffs, and it will be more competitive in the contracting of abroad.			
つまり、貿易協定は、単なる関税の引き下げや撤廃だけでなく、関係国の発展を促す他の機能も持つのです。	So the trade deal is not a simple reduction or removal of tariffs but has other features to promote the prosperity of the countries involved.	So the trade agreement is not only about tariffs and the other features that encourage the growth of the relationship.			
何時間でも話すことができますが、まだまだこの先丸々一日ありますので、この辺で止めておきますね。	I could go on for hours but since we still have a whole day ahead of us, I will stop around here.	I can talk to you in many times, but I still have a whole day, so I will stop it here.			
では、この後は、政府機関Aの貿易委員の方々とのパネルセッションになります。	So after this, we will have a panel session with the trade commissioners from Government Agency A.	Then, the trade meeting with the government agency A will be a board.			
彼らは貿易協定の利点に関する見通しを教えてくれ、企業が利用することのできるいくつかの政府プログラムについて説明してくれます。	They will provide their insight on the benefits of the trade deal, and explain some of the government programs that companies could use.	They will explain the eyes on the trade agreement and explain some government programs that companies can use.			
これらは、輸出業者が新しい市場へ進出するのに利用できる可能性のあるものだと思います。	These would be things that exporters could potentially use to expand to a new market.	These are projecting a exporter can be used to new markets.			
パネルセッションは、私の後ろにある部屋で開かれますので、この後、どうぞそちらに向かってください。	The panel session will be held in the room behind me so please head on over after this.	The panel meeting will be opened in the room behind me, so please go to your side.			
ありがとうございました、そして、皆さんが今日のイベントで多くを学ばれることを願っています。	Thank you and I hope everyone learns a lot from today's event.	Thank you, and I hope you can learn a lot at today's event.			
ねえベン、この船便がどこに行くか知ってる？	Hey Ben, do you know where this shipment will be going to?	Hey Ben, do you know where this ship will go?			
それは上海に行くやつだよ。	It's the one to Shanghai.	That's the one going to Shanghai.			
会社について聞いてるのかい？	Are you asking about the Company?	Have you heard about the company?			
うん、あと住所と。	Yeah and their address.	Yes, and the address.			
A運輸がBL指示が必要だって言ってて、今日中にコンサイニーの名前が知りたいそうなんだ。	Freight Forwarder A is asking for the BL instruction and they need to know the name of the consignee by the end of the day.	My name is John and I want to know the Johns.			
普段はエレインがやってるけど、今日は休みを取ってる。	Elaine usually does this but she took the day off today.	I usually do it, but I'm taking my vacation today.			
この前の上海宛の便と同じはずだけど。	It should be the same as the last shipment to Shanghai.	It should be the same as the flight to Shanghai before.			
だからB社だね。	So it should be Company B.	So it is B.			
でも確実なことは言えないな。	But don't quote me on it.	But I can’t say anything solid.			
了解。	Okay.	Okay.			
あ、エレインが昨日送ってた植物検疫申請書を確認してみたら？	Oh, why don't you check the phytosanitary application that Elaine sent out yesterday?	Oh, why don't you check the plant you sent yesterday?			
君が探してる情報が載ってるはずだよ。	That should have the information you're looking for.	You should have the information you are looking for.			
あれ、そのメールは見なかったな。	Oh, I didn't see that email.	Oh, I didn't see that email.			
彼女がいつそのメール出したか知ってる？	Do you know when she sent the email?	Do you know when she sent it?			
昨日の朝のはずだけど。	It should have been yesterday morning.	It should be yesterday morning.			
確認させて。	Let me check.	Let me check.			
うん、昨日の11時頃に送ってるよ。	Yeah, she sent it out around 11 o'clock yesterday.	Yes, I will send it to you around 11 o'clock yesterday.			
あれ、でも君をccに入れてなかったんだ。	Oh, but she didn't Cc you in the email.	Oh, but I didn’t put you in the office.			
ああ、だから。	Oh, no wonder.	Oh, that's why.			
そのメール、僕に転送してくれる？	Can you forward that email to me?	Can you send that email to me?			
うん、今やるね。	Yes, I'll do that now.	Yes, it is now.			
やった、ありがとう。	Great, thank you.	I did it, thank you.			
こういうメールには必ず君も入れるように言っておくよ。	I'll send her a note to always include you in these kind of emails.	I will definitely tell you to put you in this email.			
うん、よろしく。	Yes, please.	Yes, welcome to you.			
じゃないと彼女がいない時にカバーできないからね！	Otherwise I won't be able to cover for her when she's away!	Otherwise, I can’t cover it when she is gone!			
ねえ、ハン、ちょっと来て、インターンの仕事をチェックしてくれる？	Hey, Han, please come and check our intern's work.	Hey, Mr. Singe, can you come and check the internship work?			
信じられないんだ。	He's unbelievable.	I can't believe it.			
はい、はい、今チェックしますよ。	Yes, yes I am checking it right now.	Yes, I will check it now.			
あいつ、ひと晩かけて、ファイルを全部めちゃくちゃにしてくれたのか？	Did he spend all night messing up all these files?	He took one night and took it all and broken the file?			
みたいですね。	It seems that way.	It seems like it.			
少なくとも、粘り強いな。	At least he's persistent.	At least, it is strong.			
だが、たぶん、それだけだろうな。	Maybe that's it though.	But maybe that's all.			
何が問題か、なんで彼に言わなかったんだ？	Why didn't you tell him what the problem is?	Why did you not tell him what was the problem?			
どうして僕が言わないといけないんですか？	Why should I do that?	Why do I have to say?			
どっちみち、彼はここではやっていけませんよ。	He won't survive here anyway.	Anyways, he can't do it here.			
うん、そうだな。	Yeah, you're right.	Yes yes yes.			
あいつ、今プレゼンの準備してるのかな？	Is he preparing for his presentation now?	He is making a presentation now?			
パートナーは誰がやるんですかね？	Who's going to be his partner?	Who will do the partner?			
知るか。	Who knows.	I know.			
ところで、誰があいつを雇ったんだ？	By the way, who hired him?	Who hired that one?			
何かヒントはある？	Do you have any clue about that?	Do you have any clue?			
誰が雇ったかまったくわかりませんね。	I have no idea who hired him.	You don’t know who hired it.			
今、シニアマネジャーとミーティングがあるんです。	I have a briefing with the senior manager now.	I have a meeting with the senior manager right now.			
わかった。	Okay.	I realized.			
じゃあ、あとで。	I will see you later.	And then.			
おはようございます。	Good morning sir.	Good Morning.			
えー、やっておきましたのは…	I made...	Oh, I have done it...			
もう、見たよ。	We saw it already.	I already saw it.			
量をこなせるのは良くわかった。	You surely proved it quantity-wise.	I realized that I can get the amount.			
だが、それだけだ。	But, that's it.	But that is all.			
おい、君。	Hey, you!	Hey you.			
ハンさんが作ったフォルダーの階層をどうして無視したんだ？	Why did you ignore the folder trees that Mr. Han had made?	Why did you ignore the folder level that Mr. handing it over?			
無視はしませんでしたけど、入りきらないファイルがたくさんありました。	I didn't ignore them, but there were so many files that didn't fit there.	I didn’t, but there was a lot of files that didn’t enter.			
あれは会社の基準なんだ。	That's the company standard.	That is the company’s standards.			
どういう意味かわかるか？	Do you know what that means?	Do you know what it means?			
皆それを理解して了承してるってことだよ。	Everyone understood and agreed on it.	That's why they all understand it.			
すみません、覚えておきます。	Sorry sir, I will keep that in my mind.	Sorry, I will remember it.			
謝らなくてもいいけど、次回のために覚えておくように。	You don't have to be sorry, just try to remember that for next time.	You don’t have to apologize, but keep it in the next time.			
皆一緒に仕事してるんだからね。	We all work together.	We all work together.			
スコット、ちょっといい？	Scott, have you got a minute?	Hey S, do you have a moment?			
いいですよ、どうしました？	Yes, what's up?	Sure, what's up?			
ちょっとお願いがあるんだけど、いいかしら。	I was wondering if you could do me a favor.	I have a little bit to ask, but I think it is good.			
内容によります。	That depends what it is.	It depends on the content.			
それが、新サービス宣伝用のパンフをデザインして文面を作るようにジョンに頼まれたんだけど。	Well, John has asked me to design and write a brochure to promote the new service.	I was asked John to design a new bread for advertising and make a page.			
がっかりさせたくはないんだけど、私も来週提出の売上報告書があるし、準備しなくちゃいけない展示会もあるし、今それを引き受ける暇ないのよ。	I don't want to let him down, but with the sales reports due for next week and the trade show to prepare for, it's a bit much for me to take on at the moment.	I don’t want to be disappointed, but I’m going to have a sales report next week, and I’m going to take it now.			
もし、時間があったら、何か手早くできる案がないかなと思って。	If you have the time, I was hoping you might be able to whip something up?	If you have time, I think there is no idea to get something early.			
僕の思い違いでなければ、そのプロジェクトを指揮ってませんでしたか？	If I remember correctly, weren't you the one who spearheaded that project?	Did you not be in charge of that project if you don't be wrong?			
だったら、その過程で役に立った人の方がいい仕事をするんじゃないでしょうかね。	Surely someone so instrumental in its development would do a better job?	So, do you think someone who helps in that process is better?			
そうだけど、グラフィックデザインは得意じゃないのよ。	Yes, but graphic design is not my forte.	Yeah, but graphic design is not good.			
それに、今は、大事に育ててきた製品をお客さんにお披露目する展示会に全力を注がないといけないの。	Plus, I now need to put all my effort into things like the trade show, to help get my baby released to consumers.	And now we need to focus on the exhibition that we have grown products to our clients.			
はーい、わかりましたよ。	Okay, I understand.	Oh yeah, I realized it.			
大丈夫だと思います、そういう仕事は好きだし。	It shouldn't be a problem, and I do enjoy that kind of work.	I think it’s okay, I like that job.			
そうよ、M社との契約のときにすごく良いデザインしたの覚えてる。	Yes, I remember what a great job you did on the design work for the M contract.	Yes, I remember that I made a great design when I got a contract with the M company.			
あなたに任せておけば、素晴らしく仕上がると思う。	I know it will be done well if I leave it in your hands.	If you leave it to you, I think it will be great.			
はあ、ですが、今、僕、インフルで休んでいるマークの仕事もやっていることを忘れないでくださいよ。	Yes, well don't forget I'm also covering for Mark while he's off with the flu.	Well, but don't forget that I'm on a have a job that is on my own now.			
もし、マークの取引先から何か来たら、そちらの仕事を優先しますよ。	If anything comes through from one of his clients, that will have to take priority.	If you get something from the trading company of Mark, you will prioritize your work.			
はい、もちろん。	Yes, of course.	Yes of course.			
今日、昼食後から始めらるか確認してみます。	I'll see if I can make a start after lunch today.	I will check if it will start from lunch today.			
ありがとうスコット、すごく助かる。	Thanks Scott, I really appreciate it.	Thank you, Mr. Scott, that would be great.			
何か質問があったらいつでも聞いて。	I'll be on hand if you have any questions.	If you have any questions, please contact me any time.			
準備でちょっと外出するから、メールで連絡してもらうことになるかも。	I'll be out of the office for a bit with the preparations, so you might have to reach me by email.	I’m going to go out for a little bit, so I’m going to get in touch			
わかりました、大丈夫です。	No worries.	I know, it is okay.			
さて、皆に集まってもらって、進捗状況を聞きたかったのです。	So, I just wanted to touch base with everyone, and see what stage everyone is at.	Well, I wanted everyone to get together and listen to the progress.			
シモーヌ、メーカー探しはうまくいってるかい？	Simone, how's it going sourcing a manufacturer?	Sm available, is it going well?			
順調です、中国に強力な見込み会社がいます。	Pretty good, I have some promising leads in China.	It is well, there is a strong potential company in China.			
連絡をとった工場は、送ったデザインをもとにCNC装置で必要な型を作れることがかなり確実なようです。	One factory I spoke to is pretty confident they can create the shapes we require with their CNC machines, based on the designs I sent them.	The factory that we contacted has been able to make the type that we have sent to the C this design that we need.			
そこの会社、デザインがかなり初期段階のものだと知ってるんだよね？	They know the designs are a very early work in progress though, right?	You know that the company has been pretty early, right?			
最終的なデザインはかなり違ったものになりそうだけど。	The final design is likely to be quite different.	The final design will be pretty different.			
ええ、そのことは伝えてありますし、最終的なデザインがどのような感じになりそうかわかったときに特注治具をデザインすればいいのではと提案していました。	Yes, I made them aware of that, and they suggested we also design a custom jig when we know what the final design will look like.	Yes, I’ve told you about it and it was a proposal that you can feel the final design when you realized how to feel.			
ふむふむ、いい案だな。	Hmm, that's a good idea.	It is a good idea.			
そうなんです、そうすれば、向こうもすぐに生産に入れますね。	Yeah, it would help them get the production started right away.	Yes, if that happens, we will get it in production immediately.			
アサ、君のチームはどうなってる？	Now, Asa, what's been going on in your team?	What's happening with your team, A!			
えー、先週初めの段階で、予定より遅れていたんです。	Well, at the beginning of last week, we fell behind schedule.	Well, at the beginning of the week, I was late than planned.			
チームのメンバーとは既に話し合って、より良いやり方を決めましたので、金曜日には遅れを取り戻しました。	This is something I've already discussed with my team, and we came up with some better practices, and were back on track by Friday.	We already talked to the members of the team and decided to do better, so we got back late on Friday.			
良かった。	That's great.	It was good.			
それで、火曜日に一般客を招いて、いろいろな素材や色の組み合わせを試してもらい、いろいろな特徴も説明しました。	Then, on Tuesday, we invited some members of the public to come and trial the different materials and color combinations, and we explained the various features.	So we have busy customers on Tuesday, and we have to try various types of materials and colors, and we have explained various to various main difference			
すごく貴重なフィードバックももらえたので、デザインチームとも共有しておきました。	We gained some really valuable feedback, which we have shared with the design team.	I got a great feedback, so I shared it with the design team.			
そう、イアンは今日は参加できなかったんだが、その件に関しては繰り返し感謝してたよ。	Yes, Ian couldn't make it today, but he wanted to reiterate how grateful he was for that.	I was able to participate today, but I was grateful to tell you that.			
フィードバックを聞いて、彼もチームも正しい方向に向かっていると確信できたと言ってたし、次に取り掛かるべきことについて指示したそうだ。	He said the feedback gave him and his team confidence that they are moving in the right direction, and has informed them what they need to focus on next.	He heard the feedback and said he was confident that the team were going in the right direction, and he told me to get to the next.			
良かったです。	Great.	It was good.			
最後に、バネッサ、何か共有することはありますか？	Lastly, Vanessa, do you have anything to share?	Finally, do you have any shared anything?			
えーと、皆さんご存知のとおり、商品名についてすごく良いブレーンストーミングのセッションができまして、当社のブランドとコンセプトをとてもよく反映している候補名がいくつか上がりました。	Well, as you all know, we had a great brainstorming session for the product name, and came up with some options that we thought reflected our brand and the concept really well.	Well, as you know, we have a very good breakrooming session on the product name and the concept of our company, and some of the products are very well reflected in our brand name.			
そうか。	Yes.	And yes.			
ですが、残念なことに、一押しだった候補については、既に同じ商品名があるということで、その後法務部から連絡を受けて却下されました。	Unfortunately, the legal team has since got back to us and rejected our number one candidate, as there is already a product with that name.	Unfortunately, we have already have the same product name, and we have the same product, and we have been contacted by the legal department.			
そして、もう一つの有力候補はスペイン語では下品とみなされるようで、振り出しに戻ってしまいました。	Another favorite could apparently be deemed offensive in Spanish, so it looks like it's back to the drawing board.	And another candidates seemed to be considered a discounted product in Spanish, and they returned to the start.			
心配するな、まだ時間はある。	Not to worry, it's still early days.	Don't worry, we still have time.			
さて、この辺で切り上げるとするかな。	Right, let's wrap it up there.	Well, I think I will cut it up in this area.			
２週間後にまた集まって、進捗を報告してもらいます。	We'll reconvene in 2 weeks to share what progress we've made.	We will meet again in two weeks and report the progress.			
A社からもう返事は来た？	Did you hear back from Company A yet?	Have you already contacted the company?			
いや、まだなんです。	No, not yet.	No, not yet.			
メールは先週送りました。	I sent them an email last week.	I sent the email last week.			
もし返事がなかったら今週金曜日にフォローアップする予定なんです。	I'm planning to follow up with them on Friday this week if I don't hear back.	If you don’t have any answers, you’ll be following it on Friday this			
先方に電話してみるのは？	Why don't you try calling them?	How about I call you first?			
実は担当者さんが今週は国外にいるので、メールに返信もらえるのを期待してたんです。	Actually the person in charge is out of the country this week so I was hoping he'd reply my email.	In fact, the officers were abroad this week, so I thought they would be able to answer the email.			
彼は今ヨーロッパに居て、電話で連絡するのはちょっと難しいんですよ。	He's in Europe right now and it's a bit hard to reach him by phone.	He is in Europe and contacting me on the phone is a bit difficult.			
というか、自分が出張の時に誰から電話かかってきてほしくないんですよね。	I mean, I wouldn't want someone calling me when I'm on a business trip.	I don’t want to call me when I’m on a trip, right?			
特に寝てるときとか。	Especially when I'm sleeping or something.	Especially when you are sleeping.			
そうか、それはそうだな。	Okay, fair enough.	Yes, that is yes.			
でもこの件、フォローアップをするの忘れないように。	Be sure to follow up on this though.	But don't forget to follow up on this.			
東京でうちのチームが返事を待ってるから、少なくとも今週末までにどうなっているか連絡したほうがいい。	Our team in Tokyo has been waiting for a reply and we should at least let them know what is up by the end of this week.	Our team is waiting for the answer in Tokyo so it is better to contact you by the end of the week.			
はい、わかりました。	Yes, I understand.	Yes, I realized it.			
どちらにしても金曜日に東京のチームに報告します。	I'll update the team in Tokyo on Friday regardless.	We will both report it to the team on Friday.			
ありがとう。	Thank you.	thank you.			
やあローラ、今ちょっといい？	Hey Laura, can we talk for a bit now?	Mr.!			
うん、いいよ！	Yeah, sure!	Yes, it is good!			
良かった。	Great.	It was good.			
あっ、そういえば、お休みどうだった？	Oh by the way, how was your holiday?	Oh, how was your vacation?			
リスボン楽しめた？	Did you enjoy Lisbon?	Have you fun in stay here?			
すっごく良かった！	Oh it was brilliant!	It was very amazing!			
天気は最高、ご飯も美味しいしみんな優しくて！	The weather was perfect, food was great, people were all so nice!	The weather is great, and everyone is nice and good!			
ポールはエッグタルトにハマって滞在中毎日最低3個は食べてた。	Paul got himself addicted to the egg tarts and he was eating at least 3 everyday throughout the stay.	Paul had at least three pieces per day.			
あはは！	Haha!	Oh yeah!			
最近は家でも作ろうとしてレシピをひたすらググってるわ。	He's now relentlessly googling the recipe so that he can recreate it.	I've been trying to make a marketing at home recently.			
いいね！	Oh that's nice!	Sounds great!			
僕の分も作ってくれるように言っといて。	Make sure he cooks some for me too.	Let me tell you to make my Worst.			
もちろん！	Definitely!	Of course!			
オッケー、えっと、来週にT社とのミーティングをしたくて、君がいつ空いてるか知りたかったんだよね。	Ok, so, I wanted to set a meeting with Company T next week and I was wondering when you would be available to attend.	Okay, I wanted to meet with the T company next week, and I wanted to know when you are free.			
先方はいつでも大丈夫みたいだから、僕たちの都合で決めていい。	Basically they can do any day so it's up to us.	They seem to be okay at any time, so you can decide for our schedule.			
ああ、そうだよね、外に出れる日が、ちょっと待ってね、予定確認する。	Oh yeah, I will be able to go out, give me a sec, let me check my schedule.	Oh yeah, I’m going to go out, but wait a little, I’m planning.			
オッケー、水曜日と木曜日は外出できる。	Ok, I can do Wednesday and Thursday.	OK, we can go out on Wednesday and Thursday.			
金曜日も午後2時以降なら。	Also Friday but only after 2 p.m.	And after 2 o'clock on Friday.			
午前中はずっと会議で、その後すぐ指導担当の後輩とランチの約束があるんだ。	I will have a meeting all morning and a lunch appointment with my trainee right after that.	At the meeting in the morning, I have a lunch promise with the staff.			
了解、ありがとう！	Ok thanks!	Okay, thank you!			
僕も水曜日空いてるからちょうどいいや。	I can do Wednesday too so that's great.	I’m free on Wednesday, so it’s good.			
先方にメールで伝えて、時間が決まったらまた言うね。	I will email them then set the time and let you know.	I will tell them by email and if they decide the time.			
了解。	Ok, sounds great.	Okay.			
ミーティングまでに必要な書類のリストをリマインドのために自分たち宛に送っておくね。	I will send us the list of documents we need by then to remind us.	We will send the list of documents you need to the meeting to them for the rest of the mind.			
ありがとう！	Thanks!	Thank you!			
すみません、新しい文房具がほしいんですけど。	Excuse me, I would like to get some stationery.	Sorry, I want a new job.			
どんな種類の文房具？	What kind of stationery?	What type of work?			
赤い水性サインペンが欲しいんだけど。	I want a red non-permanent marker.	I want a red water sign.			
備品棚に在庫なかった？	Didn't you see it on the supply shelf?	Didn't it be stock on the shelf?			
探してみたんだけど見つからなくって。	I looked for it but didn't find it.	I tried to find it, but it was not found.			
倉庫に在庫があるかもしれない。	We might have some in the storage.	We might have stock in the warehouse.			
すぐに必要？	Do you need it soon?	Do you need it immediately?			
できれば早めに欲しいな。	The sooner the better.	I want it early if possible.			
じゃあ、今見てくるけど。	Ok, I will go see it now.	I will see it now.			
お願いします。	Please do.	Please please.			
それと、ついでにもう一ついい？	Can I ask you one more favor?	And another thing is it okay?			
何？	What is it?	What is it?			
こっちは急ぎじゃないんだけど、ハサミも新しいのが欲しい。	This is no rush, but I would like a new pair of scissors.	I'm not urgent, but I'd like a new one.			
ハサミも備品棚になくて。	There weren't any scissors on the supply shelf either.	And there's no way that the summers can be on the shelf.			
新しいハサミは備品棚に置いてないよ。	We don't keep new scissors on the supply shelf.	The new you are not going to put it on the shelf.			
備品棚においてあるのは基本的に消耗品だから。	We only keep consumable goods on the supply shelf.	We are basically consumption in the shelf.			
そうなんだ、どうすればいい？	I see, what should I do?	Yes, what should I do?			
サインペンと一緒に倉庫の在庫を見てみるよ。	I will see if there are some along with markers.	Let me look at the warehouse stock with the signature.			
もしあったら、すぐに渡せるけど。	I will get a pair for you right away if there are any.	If you have it, I can give it immediately.			
なかったら業者に今日発注するから、明後日届くと思う。	If not, I will place an order from the supply company and should receive them tomorrow.	If you don’t, I’m going to order it today, I’m going to get it			
了解です。	I gotcha.	I understand.			
あ、そうだ、備品棚の持ち出し表、全部の欄が埋まってたよ。	Oh, another thing, the take-out chart was completely filled.	Oh yeah, the list of equipment was covered.			
新しい用紙を出しておいた方がいいよ。	You should probably get a new one out.	You should have a new paper.			
ありがとう、早速やっておくよ。	Thank you, I will get to it right away.	Thank you, I will do it quickly.			
うちの会社のエントランスって殺風景ですよね。	Isn't the entrance to our company a little drab?	Our company’s enter the image is a great return.			
掃除はしているけど、シンプル過ぎるっていうか。	It gets cleaned regularly but it is too plain.	I’m cleaning, but it’s too simple.			
まぁ、華やかな感じじゃないよね。	Well, it's definitely not vibrant.	Well, it's not a good idea.			
エントランス入ったら、社名があって応接セットと内線電話だけですからね。	When you come into the entrance, all you see is the company name, the reception furniture, and the telephone.	If you enter the finished shipping, you just have the company name and the internal line phone.			
一応、観葉植物もあるけどね。	Well, a plant is there too.	There is a do not have any send it to the green dot.			
でも、この観葉植物も会社が移転した時に取引先からお祝いで頂いたものですし。	But we got this plant as a gift from our client when our office moved.	But this do not have any problem since the company was transferred, so we celebrateed it from the trading company.			
ちょっと枯れてきちゃっている部分もありますよね。	Some of the leaves are dying though.	There is a little bit of a part of it, right?			
高田さんは、結構色んな会社訪問してるじゃないですか？	Takada-san, you have visited many companies, haven't you?	Do you see a lot of companies?			
印象に残っている会社のエントランスとかあります？	Do you remember any company that has an impressive entrance?	Do you have any impression companies that have left?			
会社の規模によって全然違うから、一概にうちの参考にはならないけど。	Since it varies greatly depending on the size of a company, it might not be very useful.	It is completely different from the scale of the company, so it doesn’t work for us.			
今までで一番インパクトがあったのは、J証券かな。	The most impressive one by far is J brokerage.	The most impact I have ever had is J securities.			
外資系の大手投資銀行だから、全く参考にはならないんだけど。	It is a large international brokerage firm, so it's not helpful to compare though.	It is a foreign funding bank, so it doesn’t matter at all.			
どんな感じなんですか？	How was it?	How do you feel?			
ワンフロアすべて受付。	The whole floor is dedicated to the reception area.	All floor reception.			
しかも、東京駅隣接のビルの１８階で一面ガラス張りだから見張らしのいいこと、いいこと。	In addition, it's 18th floor of a building that is right next to Tokyo Station with glass windows, which offers a breathtaking view.	And it's a lot of students from the 18th floor of the building, so it's good to keep a good thing to keep a look.			
受付のカウンターに女性が２人座っていて、受付が終わるとホテルのロビーの用なソファーに案内されて。	There are two female receptionists sitting at the front desk, and once you sign in, you will be guided to the sofa in an area that reminds you of a hotel lobby.	There are two women at the reception desk and the guest will be around the hotel lobby of the lobby of the until the end.			
オフィスフロアに案内されるまで、優雅に待つという。	You can wait elegantly until you get guided to the office floor.	They say we wait to be calm until we show them to the office floor.			
高級ホテル並みのホスピタリティ。	As hospitable as a luxury hotel.	A as long as it's a hot as it's a hot			
それは凄すぎますね。	That sounds awesome.	That's too much, isn't it?			
じゃあ、もうちょっと身の丈にあったレベルで、よかったと思った会社はありますか？	Can you think of any company that is more like our level then?	So, do you have any idea the company that was a bit higher on your personal side?			
外資系ヘッジファンドのH投資顧問かな。	Foreign hedge fund managing company H might be it.	He is an investment consultant for the foreign funding.			
どんな感じでした？	How was it?	How was it?			
日比谷のホテルに隣接しているオフィス棟に入っているんだけど。	It's in a building adjacent to a hotel in Hibiya.	I am in the office building, which is a and the hotel of the village.			
そんなにエントランスが広いわけではなく、ちょうどうちの会社くらい。	The entrance isn't that big, it's probably the same size as ours.	It's not so wide, but it's just our company.			
とにかく品があったよ。	It is very classy.	There was an goods.			
ドアを開けると、社名のロゴが掛かっていて、ガラスのテーブルに内線電話があったよ。	When you open the door, you see the company logo hung up and a telephone placed on a glass table.	When I opened the door, the company’s logo was on the table and there was a line on the glasses.			
うちと一緒じゃないですか。	That sounds pretty similar to ours.	Isn't it together with us?			
あと、大きな花瓶にいつも生花のアレンジがあって、いい香りがするんだよね。	And there was a fresh flower arrangement in a large vase, and it smelled wonderful.	Also, there is always a increase in a lot of flower flower flower, and it smells good.			
きつい香りじゃなくて、ほんのりフローラル。	It wasn't overpowering, just enough floral scent.	It's not a hard smell, but a bit work level.			
嗅覚をくすぐるの、有効ですよね。	Olfactory stimulation can be useful.	You are going to get your smell, it is effective.			
生花のアレンジメントを飾るくらいだったら、うちも真似できるじゃないですか？	Can we borrow their idea and add a fresh flower arrangement?	If you are going to be able to make a arrangement, can you copy it too?			
じゃあ、ちょっと片付けて試験的にやってみる？	Then should we straighten up and do it as a trial?	So do you want to clean and try it a little?			
周りの反応を見てみようかな。	Let's see how people react to it.	Let's see the reaction around me.			
いいですね、やってみましょうよ。	Sounds good, let's do it.	Well, let's try it.			
野田さん、ちょっとご相談なんですけど。	Noda-san, can I ask you something?	Mr. Noda, I'm going to talk to you for a second.			
はいはい、何でしょう？	Yes, what is it?	Yes, what is it?			
来月１５日に、A証券さんが本社移転するんだよね。	My client, A Securities, is moving their headquarters on the fifteenth of next month.	The company A is moving to the office on the 15th of next month.			
御祝を贈りたいんだけど、どうすればいい？	I'd like to send them a gift.	I want to give you a gift, but what do you do?			
品物と予算は決まっているんですか？	Do you know what you want to send and how much you want to spend?	Do you know the budget and goods?			
いや、逆にいつも何を贈っているのかなと思って。	I was wondering what you always send out as gifts..	No, I think what you always give them.			
